CaseID,ActivityID,CompleteTimestamp
0,0,2012-10-09 11:50:17
0,11,2012-10-09 11:51:01
0,11,2012-10-12 12:02:56
0,9,2012-10-25 08:54:26
0,1,2012-11-09 10:54:39
2,0,2013-04-12 07:25:17
2,11,2013-04-24 07:24:01
2,7,2013-04-24 12:51:11
2,9,2013-05-15 10:21:00
2,1,2013-05-30 10:21:20
3,0,2010-01-21 06:53:28
3,0,2010-01-21 06:53:34
3,11,2010-01-21 06:53:40
3,9,2010-01-26 12:06:53
3,1,2010-03-06 07:00:57
4,0,2013-03-08 15:01:24
4,11,2013-03-25 06:08:33
4,9,2013-03-28 08:31:21
4,1,2013-04-12 06:31:36
5,0,2010-08-25 07:36:10
5,11,2010-08-27 04:34:45
5,9,2010-08-27 05:42:25
5,1,2010-09-25 07:40:32
6,0,2010-12-23 09:23:52
6,11,2011-01-11 05:55:50
6,9,2011-01-20 08:59:03
6,1,2011-02-04 08:59:20
7,0,2011-09-21 04:09:20
7,11,2011-09-26 05:52:05
7,9,2011-09-27 07:29:02
7,1,2011-10-22 04:10:49
8,0,2010-12-22 06:35:14
8,11,2010-12-22 06:49:10
8,9,2011-01-13 12:26:36
8,1,2011-02-18 06:40:43
9,0,2010-01-22 09:09:40
9,11,2010-01-22 09:09:51
9,9,2010-01-22 09:09:59
9,1,2010-03-11 09:10:33
10,0,2012-10-10 07:47:41
10,11,2012-10-25 07:23:49
10,9,2012-11-12 06:37:18
10,1,2012-11-27 06:37:28
11,0,2011-10-25 11:35:19
11,11,2011-10-26 04:19:46
11,9,2011-11-03 07:37:15
11,1,2011-12-08 13:40:25
12,0,2012-05-18 09:11:25
12,11,2012-05-18 11:23:17
12,13,2012-05-18 12:07:29
12,9,2012-05-22 04:53:06
12,1,2012-06-28 11:10:31
14,0,2013-06-21 04:11:34
14,11,2013-06-24 07:06:24
14,7,2013-06-28 07:12:09
14,9,2013-07-17 12:38:54
14,1,2013-08-01 12:39:11
15,5,2011-09-06 12:37:27
15,0,2011-09-06 12:44:32
15,11,2011-09-06 12:44:54
15,9,2011-09-06 12:55:58
15,1,2011-10-22 12:40:25
16,0,2010-05-25 12:14:28
16,11,2010-05-28 12:38:09
16,9,2010-05-28 12:38:45
16,1,2010-06-26 12:20:26
17,0,2011-11-30 14:32:54
17,9,2011-12-12 14:50:49
17,1,2012-01-13 14:40:37
19,0,2012-02-10 12:44:10
19,11,2012-02-10 13:48:04
19,9,2012-02-15 09:07:17
19,1,2012-03-14 12:50:15
20,0,2011-04-13 04:43:01
20,11,2011-04-13 04:45:30
20,9,2011-04-13 11:57:33
20,1,2011-06-11 04:50:56
21,0,2012-09-07 09:24:46
21,11,2012-09-10 06:51:17
21,13,2012-09-17 06:56:36
21,9,2012-10-02 04:03:02
21,9,2012-10-02 04:03:22
21,1,2012-10-17 04:03:17
23,0,2013-02-14 13:35:55
23,11,2013-03-04 06:12:43
23,13,2013-03-04 06:33:32
23,9,2013-03-04 08:43:19
23,1,2013-03-19 08:43:39
24,0,2012-01-30 07:09:29
24,11,2012-01-30 07:09:57
24,9,2012-01-31 06:12:06
24,1,2012-03-16 07:12:11
25,0,2012-05-15 05:09:38
25,11,2012-05-15 05:09:57
25,13,2012-05-28 12:21:32
25,9,2012-06-04 07:49:46
25,1,2012-07-06 10:30:28
26,0,2010-05-18 11:59:36
26,11,2010-05-19 05:08:06
26,9,2010-05-20 07:17:39
26,1,2010-06-25 12:01:30
27,0,2012-01-05 14:55:40
27,0,2012-01-05 14:55:53
27,11,2012-01-11 09:59:45
27,9,2012-01-12 08:39:39
27,1,2012-02-07 15:00:35
28,0,2013-03-12 07:39:30
28,9,2013-03-28 11:14:48
28,9,2013-03-28 11:14:48
28,1,2013-04-12 09:15:06
29,0,2011-07-14 04:22:19
29,0,2011-07-15 07:40:41
29,11,2011-07-15 09:44:17
29,9,2011-07-18 05:33:09
29,1,2011-08-20 04:31:38
30,0,2011-03-18 07:41:58
30,11,2011-03-18 07:42:34
30,13,2011-03-25 12:24:59
30,11,2011-04-20 12:42:11
30,9,2011-04-20 12:42:20
30,1,2011-05-05 12:42:36
31,0,2013-05-13 12:56:12
31,11,2013-05-20 05:37:45
31,7,2013-05-20 05:38:03
31,9,2013-06-04 13:04:46
31,1,2013-06-19 13:05:00
32,0,2013-04-16 10:36:13
32,11,2013-04-29 05:23:18
32,13,2013-04-29 12:18:01
32,9,2013-05-15 06:33:16
32,1,2013-05-30 06:33:30
33,0,2010-12-28 06:31:42
33,11,2011-01-14 08:45:45
33,9,2011-01-14 08:46:06
33,1,2011-01-29 08:46:26
34,0,2012-05-09 06:25:28
34,11,2012-05-09 10:22:38
34,9,2012-05-09 10:40:52
34,1,2012-06-09 06:30:28
36,0,2010-02-04 07:40:52
36,0,2010-02-04 07:41:05
36,11,2010-02-04 07:41:23
36,2,2010-02-04 07:41:33
